Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
JD.ID,Jakarta,Retail,200,0.3,2022-12-14,https://jakartaglobe.id/business/jdid-layoffs-reflect-struggles-in-indonesian-startup-industry,5100.0,IPO,2022-12-15 02:19:38,Indonesia,Unknown
GoStudent,Vienna,Education,100,,2022-12-14,https://www.businessinsider.com/gostudent-3-billion-edtech-startup-begins-fresh-round-of-layoffs-2022-12,686.0,Series D,2022-12-15 02:11:42,Austria,Unknown
ChowNow,Los Angeles,Food,40,0.1,2022-12-14,https://www.restaurantbusinessonline.com/amp/technology/chownow-cuts-more-jobs-delivery-demand-levels-out,64.0,Series C,2022-12-15 02:10:04,United States,Unknown
Landing,Birmingham,Real Estate,,,2022-12-14,https://www.al.com/business/2022/12/birmingham-tech-firm-landing-has-second-round-of-layoffs.html,347.0,Series C,2022-12-15 02:10:48,United States,Unknown
Thumbtack,SF Bay Area,Consumer,160,0.14,2022-12-13,Internal memo,698.0,Series I,2022-12-13 20:12:50,United States,Unknown
Edgio,Phoenix,Infrastructure,95,0.1,2022-12-13,https://www.marketscreener.com/amp/quote/stock/EDGIO-INC-52799/news/EDGIO-INC-Costs-Associated-with-Exit-or-Disposal-Activities-Change-in-Directors-or-Principal-Of-42549605/,462.0,IPO,2022-12-15 02:14:17,United States,Unknown
Komodo Health,SF Bay Area,Healthcare,78,0.09,2022-12-13,https://techcrunch.com/2022/12/13/komodo-health-once-tipped-for-a-looming-ipo-has-cut-staff-as-cfo-departs/,50.0,Series C,2022-12-13 20:11:49,United States,Unknown
Pluralsight,Salt Lake City,Education,400,0.2,2022-12-12,https://www.pluralsight.com/newsroom/press-releases/ceo-aaron-skonnard-email-to-pluralsight,192.0,Acquired,2022-12-12 22:08:18,United States,https://docs.google.com/spreadsheets/d/1l10lFdaYxDWpmJorxd5cml_bBQ0qMhqngZvKEJP5m2o/edit#gid=0
Freshly,Phoenix,Food,329,,2022-12-12,https://mouthbysouthwest.com/2022/12/12/phoenix-born-freshly-is-laying-off-329-local-workers-in-strategy-shift/,107.0,Acquired,2022-12-14 17:57:42,United States,Unknown
Balto,St. Louis,Sales,35,,2022-12-12,https://www.bizjournals.com/stlouis/inno/stories/news/2022/12/12/balto-software-layoffs.html,51.0,Series B,2022-12-13 20:08:07,United States,Unknown
Outschool,SF Bay Area,Education,43,0.25,2022-12-10,https://techcrunch.com/2022/12/10/some-of-edtech-boldest-are-struggling/,240.0,Series D,2022-12-13 20:07:23,United States,Unknown
Xentral,Munich,Product,20,0.1,2022-12-10,https://www.businessinsider.de/gruenderszene/business/xentral-entlassungen/,94.0,Series B,2022-12-13 20:02:56,Germany,Unknown
Autobooks,Detroit,Finance,,,2022-12-10,https://www.crainsdetroit.com/technology/fintech-startup-autobooks-lays-workers,97.0,Series C,2022-12-11 03:36:27,United States,Unknown
Convene,New York City,Real Estate,,,2022-12-10,https://www.linkedin.com/posts/ryan-simonetti-5873887_like-many-companies-weve-had-to-reassess-activity-7007097001259507712-ZpTF/,281.0,Unknown,2022-12-13 20:05:53,United States,Unknown
PharmEasy,Mumbai,Healthcare,,,2022-12-10,https://inc42.com/buzz/pharmeasy-lays-off-more-employees-amid-funding-crunch/,1600.0,Unknown,2022-12-11 06:25:36,India,Unknown
Playtika,Tel Aviv,Consumer,600,0.15,2022-12-09,https://en.globes.co.il/en/article-playtika-to-lay-off-600-1001432312,,IPO,2022-12-11 06:01:30,Israel,Unknown
Share Now,Berlin,Transportation,150,0.36,2022-12-09,https://www.businessinsider.de/gruenderszene/automotive-mobility/carsharing-sharenow-entlassungen-a/,,Acquired,2022-12-13 20:05:00,Germany,Unknown
Alice,Sao Paulo,Healthcare,113,0.16,2022-12-09,https://startups.com.br/demissoes/alice-faz-nova-onda-de-demissoes-e-dispensa-113-pessoas/,174.0,Series C,2022-12-11 03:31:04,Brazil,Unknown
Primer,London,Finance,85,0.33,2022-12-09,https://techcrunch.com/2022/12/09/primer-the-uk-e-commerce-tech-startup-has-laid-off-one-third-of-its-staff/,73.0,Series B,2022-12-09 16:37:23,United Kingdom,Unknown
C2FO,Kansas City,Finance,20,0.02,2022-12-09,https://www.bizjournals.com/kansascity/news/2022/12/09/c2fo-layoff-recession-efficiency-profitability.html,537.0,Series H,2022-12-11 05:58:32,United States,Unknown
Brodmann17,Tel Aviv,Other,,1.0,2022-12-09,https://techcrunch.com/2022/12/09/computer-vision-technology-startup-brodmann17-has-shut-down/,25.0,Series A,2022-12-11 06:17:56,Israel,Unknown
Digital Surge,Brisbane,Crypto,,1.0,2022-12-09,https://www.9news.com.au/technology/australian-cryptocurrency-exchange-digital-surge-collapses-into-administration/ebbeb40c-6310-4250-b123-600bc6755cc5,,Unknown,2022-12-11 06:09:24,Australia,Unknown
N-able Technologies,Raleigh,Other,,,2022-12-09,Unknown,225.0,IPO,2022-12-09 22:12:27,United States,Unknown
ZenLedger,Seattle,Crypto,,0.1,2022-12-09,https://blockworks.co/news/another-crypto-tax-software-startup-is-laying-off-staffers,25.0,Series B,2022-12-11 05:56:55,United States,Unknown
Airtable,SF Bay Area,Product,254,0.2,2022-12-08,https://techcrunch.com/2022/12/08/airtable-layoffs/,1400.0,Series F,2022-12-08 17:48:07,United States,Unknown
Swiggy,Bengaluru,Food,250,0.03,2022-12-08,https://inc42.com/buzz/swiggy-fire-250-employees-further-layoffs-store/,3600.0,Unknown,2022-12-09 05:00:53,India,Unknown
Glints,Singapore,HR,198,0.18,2022-12-08,https://www.techinasia.com/singaporebased-glints-lays-18-employees,82.0,Series D,2022-12-09 05:07:33,Singapore,Unknown
Buser,Sao Paulo,Transportation,160,0.3,2022-12-08,https://startups.com.br/demissoes/buser-demite-30-para-se-adaptar-a-nova-realidade-do-mercado/,138.0,Series C,2022-12-11 06:00:24,Brazil,https://docs.google.com/spreadsheets/d/1KkOxvPis13EC3MSsFtsGgNIBFv-FFEZ1-p2MTL2IDgY/htmlview
BlackLine,Los Angeles,Finance,95,0.05,2022-12-08,https://seekingalpha.com/news/3915452-blackline-to-cut-jobs-by-5-globally-sec-filing,220.0,Private Equity,2022-12-11 06:15:28,United States,Unknown
Otonomo,Tel Aviv,Transportation,80,0.5,2022-12-08,https://www.calcalistech.com/ctechnews/article/bjbvjqyoi,231.0,IPO,2022-12-11 06:07:24,Israel,Unknown
TechTarget,Boston,Marketing,60,0.05,2022-12-08,https://www.marketwatch.com/story/techtarget-focuses-on-restructuring-plan-cutting-60-positions-271670628385,115.0,IPO,2022-12-11 06:02:55,United States,Unknown
Inscripta,Boulder,Healthcare,43,,2022-12-08,https://www.genomeweb.com/business-news/inscripta-lays-dozens-closes-colorado-headquarters-san-diego-office#.Y5JvGOzMK8A,459.0,Series E,2022-12-09 05:02:33,United States,Unknown
CyCognito,SF Bay Area,Security,30,0.15,2022-12-08,https://www.calcalistech.com/ctechnews/article/h1suse100s,153.0,Series C,2022-12-09 05:03:17,United States,Unknown
Armis,SF Bay Area,Security,25,0.04,2022-12-08,https://www.calcalistech.com/ctechnews/article/by6mtcjuo,537.0,Private Equity,2022-12-11 03:35:08,United States,Unknown
Bakkt,Atlanta,Crypto,,0.15,2022-12-08,https://bakkt.com/newsroom/a-note-from-gavin-michael-to-bakkt-employees-bakkt,932.0,IPO,2022-12-11 03:37:41,United States,Unknown
Blue Apron,New York City,Food,,0.1,2022-12-08,https://investors.blueapron.com/press-releases/2022/12-08-2022-140712547,352.0,IPO,2022-12-08 17:06:37,United States,Unknown
FireHydrant,New York City,Infrastructure,,,2022-12-08,https://www.linkedin.com/posts/bobby-tables_today-weve-made-major-changes-at-firehydrant-activity-7006723101807763456-dU8s/,32.0,Series B,2022-12-11 06:13:18,United States,Unknown
Nerdy,St. Louis,Education,,0.17,2022-12-08,https://www.bizjournals.com/stlouis/news/2022/12/08/online-tutoring-firm-nerdy-slashes.html,150.0,IPO,2022-12-11 06:08:11,United States,Unknown
Vanta,SF Bay Area,Security,,0.14,2022-12-08,LinkedIn,203.0,Series B,2022-12-11 03:32:39,United States,Unknown
Vedantu,Bengaluru,Education,385,,2022-12-07,https://economictimes.indiatimes.com/tech/startups/edtech-firm-vedantu-cuts-385-jobs-in-fourth-round-of-layoffs-this-year/articleshow/96060595.cms,292.0,Series E,2022-12-07 16:28:02,India,Unknown
Loft,Sao Paulo,Real Estate,312,0.12,2022-12-07,https://www.bloomberglinea.com/english/brazilian-unicorn-loft-sheds-12-of-staff-in-third-wave-of-layoffs-this-year/,788.0,Unknown,2022-12-08 06:26:02,Brazil,Unknown
Plaid,SF Bay Area,Finance,260,0.2,2022-12-07,https://techcrunch.com/2022/12/07/plaid-layoff-fintech/,734.0,Series D,2022-12-07 16:22:04,United States,https://docs.google.com/spreadsheets/d/1Tqw-IuLmMZJMvKkzH9ouq4ulDp0LEC6azKXtjh9ulpU/edit
Motive,SF Bay Area,Transportation,237,0.06,2022-12-07,https://gomotive.com/blog/shoaib-makanis-message-to-employees/,567.0,Series F,2022-12-08 06:21:12,United States,https://docs.google.com/spreadsheets/d/e/2PACX-1vT-99jxJLo_tUHWQboamwf6yvRKUh0HCLWLWbjzbkZOWQcRzituc7D7K7wyATgOazFDtcBLSMPiKNWG/pubhtml
Relativity,Chicago,Legal,150,0.1,2022-12-07,https://www.chicagobusiness.com/technology/software-firm-relativity-cuts-10-staff,125.0,Private Equity,2022-12-08 06:22:20,United States,Unknown
Voi,Stockholm,Transportation,130,0.13,2022-12-07,https://www.breakit.se/artikel/35283/voi-tvingas-drar-ner-igen-vi-ar-mycket-ledsna,515.0,Series D,2022-12-08 06:24:32,United States,Unknown
Integral Ad Science,New York City,Marketing,120,0.13,2022-12-07,https://investors.integralads.com/node/7871/html,116.0,Acquired,2022-12-08 06:23:13,United States,Unknown
Grover,Berlin,Retail,40,0.1,2022-12-07,https://www.businessinsider.de/gruenderszene/business/entlassungen-bei-berliner-neu-unicorn-grover/?fbclid=IwAR3o2sB8MmcX3_y8HaAeRqIUU2T8YNYokRDZz5Nxkr0BjzhYRs84fR2hrW8,2300.0,Unknown,2022-12-07 19:18:57,United States,Unknown
Lev,New York City,Real Estate,30,0.3,2022-12-07,https://therealdeal.com/2022/12/07/cre-finance-platform-lev-lays-off-chunk-of-staff/,114.0,Series B,2022-12-11 06:19:37,United States,Unknown
Lithic,New York City,Finance,27,0.18,2022-12-07,https://www.axios.com/pro/fintech-deals/2022/12/07/fintech-lithic-lays-off-27,115.0,Series C,2022-12-09 00:46:59,United States,Unknown
CircleCI,SF Bay Area,Product,,0.17,2022-12-07,https://circleci.com/blog/ceo-jim-rose-email-to-circleci-employees/,315.0,Series F,2022-12-07 21:47:26,United States,https://docs.google.com/spreadsheets/d/1A_1uk6qP_a0C2bwKcvV7G-meypWCgW-giK9O2UG8p_k/edit
Sayurbox,Jakarta,Food,,0.05,2022-12-07,https://www.techinasia.com/sayurbox-lays-off-2022,139.0,Series C,2022-12-09 05:08:34,Indonesia,Unknown
Zywave,Milwaukee,Finance,,,2022-12-07,https://www.bizjournals.com/milwaukee/news/2022/12/07/zywave-layoffs-growth-slows.html,,Acquired,2022-12-09 05:09:37,United States,Unknown
Doma,SF Bay Area,Finance,515,0.4,2022-12-06,https://investor.doma.com/node/8161/html,679.0,IPO,2022-12-07 06:21:36,United States,Unknown
BuzzFeed,New York City,Media,180,0.12,2022-12-06,https://variety.com/2022/digital/news/buzzfeed-layoffs-12-percent-employees-1235451552/,696.0,IPO,2022-12-06 18:40:43,United States,Unknown
Weedmaps,Los Angeles,Other,175,0.25,2022-12-06,https://www.businessinsider.com/weedmaps-cannabis-company-layoffs-cutting-workforce-2022-12,,Acquired,2022-12-07 06:29:37,United States,Unknown
